200,10,5|200,10,-5|150,10,-5|140,10,5|
140,10,5|150,10,-5|110,10,-50|100,10,-40|
110,10,-50|110,10,-110|100,10,-100|100,10,-40|
100,10,-100|110,10,-110|80,10,-140|70,10,-130|
80,10,-140|-10,10,-140|0,10,-130|70,10,-130|
-10,10,-140|-60,10,-100|-50,10,-90|0,10,-130|
-100,10,-90|-50,10,-90|-60,10,-100|-110,10,-100|
-100,10,-90|-110,10,-100|-140,10,-80|-130,10,-70|
-140,10,-80|-140,10,-40|-130,10,-30|-130,10,-70|
-180,10,-10|-170,10,0|-130,10,-30|-140,10,-40|
-180,10,-10|-180,10,20|-170,10,10|-170,10,0|
-140,10,60|-130,10,50|-170,10,10|-180,10,20|
-140,10,60|-140,10,80|-130,10,90|-130,10,50|
-130,10,90|-140,10,80|-160,10,120|-150,10,130|
-150,10,130|-160,10,120|-160,10,170|-150,10,150|
-160,10,170|-80,10,140|-90,10,130|-150,10,150|
-90,10,130|-80,10,140|-20,10,140|-30,10,130|
-30,10,130|-20,10,140|10,10,100|0,10,90|
0,10,90|10,10,100|40,10,100|50,10,90|
50,10,90|40,10,100|80,10,140|90,10,130|
90,10,160|90,10,130|80,10,140|80,10,170|
90,10,160|80,10,170|130,10,170|120,10,160|
90,10,160|80,10,170|130,10,170|120,10,160|
120,10,160|130,10,170|130,10,110|120,10,100|
120,10,160|130,10,170|130,10,110|120,10,100|
120,10,100|130,10,110|170,10,80|160,10,70|
160,10,70|170,10,80|200,10,80|190,10,70|
190,10,70|200,10,80|200,10,5|190,10,5|
