150,10,-5|150,50,-5|140,50,5|140,10,5|
110,10,-50|110,50,-50|100,50,-40|100,10,-40|
110,10,-110|110,50,-110|100,50,-100|100,10,-100|
80,10,-140|80,50,-140|70,50,-130|70,10,-130|
-10,10,-140|-10,50,-140|0,50,-130|0,10,-130|
-60,10,-100|-60,50,-100|-50,50,-90|-50,10,-90|
-110,10,-100|-110,50,-100|-100,50,-90|-100,10,-90|
-140,10,-80|-140,50,-80|-130,50,-70|-130,10,-70|
-140,10,-40|-140,50,-40|-130,50,-30|-130,10,-30|
-180,10,-10|-180,50,-10|-170,50,0|-170,10,0|
-180,10,20|-180,50,20|-170,50,10|-170,10,10|
-140,10,60|-140,50,60|-130,50,50|-130,10,50|
-140,10,80|-140,50,80|-130,50,90|-130,10,90|
-160,10,120|-160,50,120|-150,50,130|-150,10,130|
-160,10,170|-160,50,170|-150,50,150|-150,10,150|
-80,10,140|-80,50,140|-90,50,130|-90,10,130|
-20,10,140|-20,50,140|-30,50,130|-30,10,130|
10,10,100|10,50,100|0,50,90|0,10,90|
40,10,100|40,50,100|50,50,90|50,10,90|
80,10,140|80,50,140|90,50,130|90,10,130|
80,10,170|80,50,170|90,50,160|90,10,160|
130,10,170|130,50,170|120,50,160|120,10,160|
130,10,110|130,50,110|120,50,100|120,10,100|
170,10,90|170,50,80|160,50,70|160,10,70|
200,10,80|200,50,80|190,50,70|190,10,70|
200,10,5|200,50,5|190,50,5|190,10,5|
