200,50,-5|150,50,-5|150,10,-5|200,10,-5|
150,50,-5|110,50,-50|110,10,-50|150,10,-5|
110,50,-50|110,50,-110|110,10,-110|110,10,-50|
110,50,-110|70,50,-140|70,10,-140|110,10,-110|
70,50,-140|-10,50,-140|-10,10,-140|70,10,-140|
-10,50,-140|-60,50,-100|-60,10,-100|-10,10,-140|
-60,50,-100|-110,50,-100|-110,10,-100|-60,10,-100|
-110,50,-100|-140,50,-80|-140,10,-80|-110,10,-100|
-140,50,-80|-140,50,-40|-140,10,-40|-140,10,-80|
-140,50,-40|-180,50,-10|-180,10,-10|-140,10,-40|
-180,50,-10|-180,50,20|-180,10,20|-180,10,-10|
-180,50,20|-140,50,60|-140,10,60|-180,10,20|
-140,50,60|-140,50,80|-140,10,80|-140,10,60|
-140,50,80|-160,50,120|-160,10,120|-140,10,80|
-160,50,60|-160,50,170|-160,10,170|-160,10,120|
-160,50,170|-80,50,140|-80,10,140|-160,10,170|
-80,50,140|-20,50,140|-20,10,140|-80,10,140|
-20,50,140|10,50,100|10,10,100|-20,10,140|
10,50,100|40,50,100|40,10,100|10,10,100|
40,50,100|80,50,140|80,10,140|40,10,100|
80,50,140|80,50,170|80,10,170|80,10,140|
80,50,170|130,50,170|130,10,170|80,10,170|
130,50,170|130,50,110|130,10,110|130,10,170|
130,50,110|170,50,80|170,10,80|130,10,110|
170,50,80|200,50,80|200,10,80|170,10,80|
200,50,80|200,50,-5|200,10,-5|200,10,80|
190,10,5|140,10,5|140,50,5|190,50,5|
140,10,5|100,10,-40|100,50,-40|140,50,5|
100,10,-40|100,10,-100|100,40,-100|100,50,-40|
100,10,-100|70,10,-130|70,50,-130|100,50,-100|
70,10,-130|0,10,-130|0,50,-130|70,50,-130|
0,10,-130|-50,10,-90|-50,50,-90|0,50,-130|
-50,10,-90|-100,10,-90|-100,50,-90|-50,50,-90|
-100,10,-90|-130,10,-70|-130,50,-70|-100,50,-90|
-130,10,-70|-130,10,-30|-130,50,-30|-130,50,-70|
-130,10,-30|-170,10,0|-170,50,0|-130,50,-30|
-170,10,0|-170,10,10|-170,50,10|-170,50,0|
-170,10,10|-130,10,50|-130,50,50|-170,50,10|
-130,10,50|-130,10,90|-130,50,90|-130,50,50|
-130,10,90|-150,10,130|-150,50,130|-130,50,90|
-150,10,130|-150,10,150|-150,50,150|-150,50,130|
-150,10,150|-90,10,130|-90,50,130|-150,50,150|
-90,10,130|-30,10,130|-30,50,130|-90,50,130|
-30,10,130|0,10,90|0,50,90|-30,50,130|
0,10,90|50,10,90|50,50,90|0,50,90|
50,10,90|90,10,130|90,50,130|50,50,90|
90,10,130|90,10,160|90,50,160|90,50,130|
90,10,160|120,10,160|120,50,160|90,50,160|
120,10,160|120,10,100|120,50,100|120,50,160|
120,10,100|160,10,70|160,50,70|120,50,100|
160,10,70|190,10,70|190,50,70|160,50,70|
190,10,70|190,10,5|190,50,5|190,50,70|
